"Medida"	"Modelo"
32298	"M0"
36287	"M0"
0	"M0"
51588	"M0"
26649.5	"M0"
61772	"M0"
79028	"M0"
52416.5	"M0"
45064	"M0"
22923.5	"M0"
36320	"M0"
65042	"M0"
55420	"M0"
60811.5	"M0"
18254.5	"M0"
107932	"M0"
102294	"M0"
117720	"M0"
70366.5	"M0"
56955	"M0"
37601.5	"M0"
276958	"M0"
84552.5	"M0"
871545	"M0"
97963	"M0"
579289	"M0"
906711	"M0"
1247760	"M0"
643394	"M0"
740962	"M0"
176665	"M0"
272547	"M0"
1261010	"M0"
132138	"M0"
151347	"M0"
418635	"M0"
641164	"M0"
467835	"M0"
523576	"M0"
309942	"M0"
1450330	"M0"
3140620	"M0"
2333320	"M0"
1201920	"M0"
2252340	"M0"
646495	"M0"
2990180	"M0"
1507460	"M0"
655044	"M0"
2552560	"M0"
2383260	"M0"
1273040	"M0"
508951	"M0"
1049540	"M0"
981017	"M0"
1405850	"M0"
2824770	"M0"
4315510	"M0"
961729	"M0"
965048	"M0"
1339030	"M0"
668469	"M0"
3695960	"M0"
4558500	"M0"
1926840	"M0"
4621680	"M0"
5821440	"M0"
5045680	"M0"
4515260	"M0"
2268050	"M0"
2063980	"M0"
3684950	"M0"
4367170	"M0"
2895700	"M0"
7657330	"M0"
2956950	"M0"
1916950	"M0"
3917080	"M0"
956727	"M0"
497875	"M0"
0	"M1"
0	"M1"
56362	"M1"
98528	"M1"
58783	"M1"
67087	"M1"
21945	"M1"
0	"M1"
47300	"M1"
14443	"M1"
159086	"M1"
100158	"M1"
13822.5	"M1"
0	"M1"
189564	"M1"
12056.5	"M1"
37767.5	"M1"
54743.5	"M1"
9925.5	"M1"
76647	"M1"
80062	"M1"
673401	"M1"
436583	"M1"
371828	"M1"
590685	"M1"
779169	"M1"
917596	"M1"
382857	"M1"
363671	"M1"
718724	"M1"
25651	"M1"
202424	"M1"
284892	"M1"
525346	"M1"
288031	"M1"
755746	"M1"
602195	"M1"
652328	"M1"
1101620	"M1"
559518	"M1"
584257	"M1"
2298440	"M1"
2778270	"M1"
1952730	"M1"
416592	"M1"
2216060	"M1"
1680360	"M1"
1279740	"M1"
1167660	"M1"
1637160	"M1"
1174690	"M1"
2118110	"M1"
2942610	"M1"
1870640	"M1"
386880	"M1"
526787	"M1"
2784640	"M1"
581547	"M1"
1891110	"M1"
226544	"M1"
535899	"M1"
4432240	"M1"
3632670	"M1"
1313680	"M1"
2011910	"M1"
3003000	"M1"
2008040	"M1"
4672500	"M1"
3364120	"M1"
7286880	"M1"
2854510	"M1"
2055940	"M1"
3012580	"M1"
2526520	"M1"
3389480	"M1"
1692490	"M1"
1088110	"M1"
2349690	"M1"
1278160	"M1"
1029550	"M1"
111358	"M2"
27100	"M2"
165744	"M2"
80241	"M2"
11032	"M2"
34424	"M2"
89776	"M2"
54261	"M2"
19213	"M2"
262386	"M2"
53369.5	"M2"
142779	"M2"
17649	"M2"
220756	"M2"
26855	"M2"
319343	"M2"
131030	"M2"
356810	"M2"
362949	"M2"
80908	"M2"
1379970	"M2"
372579	"M2"
535950	"M2"
335609	"M2"
685721	"M2"
264490	"M2"
438512	"M2"
1798060	"M2"
919479	"M2"
1672940	"M2"
5481170	"M2"
3499020	"M2"
1576830	"M2"
1499850	"M2"
481765	"M2"
1049320	"M2"
2080130	"M2"
13593400	"M2"
3755910	"M2"
402183	"M2"
774334	"M2"
638696	"M2"
2772620	"M2"
3674080	"M2"
2852770	"M2"
2654820	"M2"
275576	"M2"
3323160	"M2"
5636080	"M2"
2847860	"M2"
6361970	"M2"
2802690	"M2"
5204980	"M2"
3613580	"M2"
2561700	"M2"
0	"M3"
28486	"M3"
0	"M3"
0	"M3"
11556.5	"M3"
39871	"M3"
119772	"M3"
0	"M3"
0	"M3"
18430	"M3"
10332.5	"M3"
0	"M3"
7608	"M3"
29145	"M3"
3608.5	"M3"
21506.5	"M3"
0	"M3"
460345	"M3"
176840	"M3"
19921.5	"M3"
49675.5	"M3"
19191	"M3"
19721	"M3"
106517	"M3"
130426	"M3"
218157	"M3"
88952.7	"M3"
150646	"M3"
108613	"M3"
128999	"M3"
372161	"M3"
120474	"M3"
79483	"M3"
257664	"M3"
122347	"M3"
94368	"M3"
58449	"M3"
39964	"M3"
246278	"M3"
127894	"M3"
502285	"M3"
203922	"M3"
476875	"M3"
588068	"M3"
255181	"M3"
380468	"M3"
303335	"M3"
214298	"M3"
293263	"M3"
487989	"M3"
154900	"M3"
296650	"M3"
281291	"M3"
2242360	"M3"
300289	"M3"
264253	"M3"
238569	"M3"
872697	"M3"
146862	"M3"
303814	"M3"
180271	"M3"
524404	"M3"
469385	"M3"
1746890	"M3"
1085680	"M3"
873153	"M3"
845388	"M3"
736762	"M3"
204521	"M3"
343436	"M3"
221098	"M3"
1441680	"M3"
594029	"M3"
760593	"M3"
544120	"M3"
843711	"M3"
739714	"M3"
2789720	"M3"
1767230	"M3"
883770	"M3"
